"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.301608197E0,3.287714005E0,-4.439434409E-1,7.632671595E-1,3.404221778E0
1.306583666E0,3.244575500E0,-5.131734610E-1,8.904018402E-1,3.403444228E0
1.311559135E0,3.025203705E0,-4.281818867E-1,9.023530483E-1,3.185818295E0
1.316534604E0,2.620736122E0,-2.753374577E-1,8.902767897E-1,2.781485448E0
1.321510072E0,2.184476852E0,-1.498094201E-1,6.971486807E-1,2.297911718E0
1.326485541E0,1.826213837E0,-1.319475621E-1,3.715623617E-1,1.868294871E0
1.331461010E0,1.612405777E0,-1.348243058E-1,4.713177681E-3,1.618039615E0
1.336436479E0,1.552063942E0,2.815325558E-2,-3.175578117E-1,1.584467750E0
1.341411947E0,1.554042816E0,3.806462288E-1,-5.385442972E-1,1.688185590E0
1.346387416E0,1.475085258E0,6.933714747E-1,-6.208349466E-1,1.744154968E0
1.351362885E0,1.243989944E0,7.427575588E-1,-5.650963783E-1,1.555163557E0
1.356338354E0,1.009167671E0,6.256374121E-1,-4.193273783E-1,1.259236678E0
1.361313822E0,9.899301529E-1,5.766533017E-1,-2.119011879E-1,1.165072037E0
1.366289291E0,1.099502563E0,6.909661293E-1,9.074687958E-2,1.301758455E0
1.371264760E0,1.251483917E0,9.297590256E-1,4.741708040E-1,1.629571045E0
1.376240229E0,1.340752602E0,1.068404078E0,8.570604324E-1,1.916678742E0
1.381215697E0,1.462981224E0,1.035902858E0,1.229739785E0,2.173860329E0
1.386191166E0,1.651509285E0,8.997529745E-1,1.482212424E0,2.394575537E0
1.391166635E0,1.939574242E0,7.794817686E-1,1.676537991E0,2.679611856E0
1.396142104E0,2.264872551E0,7.558798194E-1,1.860277772E0,3.026819347E0
1.401117572E0,2.579603195E0,6.947342157E-1,1.933154345E0,3.297589119E0
1.406093041E0,2.912417412E0,5.146096945E-1,1.886127949E0,3.507773789E0
1.411068510E0,3.167787552E0,2.343735546E-1,1.738949776E0,3.621291932E0
1.416043979E0,3.288695335E0,-2.248994634E-2,1.535150051E0,3.629422611E0
1.421019447E0,3.218317986E0,-1.995500922E-1,1.346770287E0,3.494450043E0
1.425994916E0,3.014524460E0,-2.880122364E-1,1.174073219E0,3.247884957E0
1.430970385E0,2.725438118E0,-2.644744515E-1,9.552547932E-1,2.900081273E0
1.435945854E0,2.389496803E0,-2.487301826E-1,7.001616955E-1,2.502356505E0
1.440921322E0,2.130936623E0,-2.404715717E-1,4.708571434E-1,2.195546382E0
1.445896791E0,2.035396576E0,-1.727412641E-1,2.814214230E-1,2.062007949E0
1.450872260E0,1.973625183E0,7.372222841E-2,1.692802906E-1,1.982242959E0
1.455847729E0,1.764329910E0,4.890979528E-1,2.767853737E-1,1.851671403E0
1.460823197E0,1.422428131E0,8.683636785E-1,5.837900639E-1,1.765833544E0
1.465798666E0,1.048579216E0,1.078900933E0,8.701503277E-1,1.738018179E0
1.470774135E0,7.907505035E-1,1.136516571E0,1.078871489E0,1.755254957E0
1.475749604E0,7.820644379E-1,1.180909634E0,1.277220011E0,1.907213492E0
1.480725072E0,9.691410065E-1,1.336498499E0,1.522503614E0,2.245769308E0
1.485700541E0,1.222399712E0,1.493305922E0,1.743182898E0,2.600559602E0
1.490676010E0,1.527227402E0,1.522418261E0,1.786897182E0,2.800568235E0
1.495651479E0,1.845247269E0,1.376209021E0,1.659137726E0,2.837538853E0
1.500626947E0,2.138261795E0,1.131071568E0,1.460666895E0,2.825780277E0
1.505602416E0,2.344351768E0,8.822008371E-1,1.334836483E0,2.838318511E0
1.510577885E0,2.382674217E0,7.817958593E-1,1.281536341E0,2.816145696E0
1.515553354E0,2.349230766E0,6.857979298E-1,1.167006731E0,2.711292810E0
1.520528822E0,2.358840942E0,5.175282359E-1,9.961078167E-1,2.612316376E0
1.525504291E0,2.363730431E0,3.483997881E-1,7.401330471E-1,2.501279850E0
1.530479760E0,2.316308022E0,1.829820573E-1,5.374019146E-1,2.384861862E0
1.535455229E0,2.259726524E0,4.500213265E-2,3.924624920E-1,2.293995633E0
1.540430697E0,2.222626686E0,-2.756157517E-2,2.193586826E-1,2.233595142E0
1.545406166E0,2.161986351E0,-2.548915148E-2,-6.762480736E-2,2.163193887E0
1.550381635E0,2.087421417E0,1.775568724E-2,-3.917174339E-1,2.123931728E0
1.555357104E0,2.041959763E0,9.768968821E-2,-7.004561424E-1,2.160967782E0
1.560332572E0,2.097202301E0,2.813802958E-1,-9.513859749E-1,2.320036128E0
1.565308041E0,2.176581383E0,5.927359462E-1,-1.130881071E0,2.523437024E0
1.570283510E0,2.222864151E0,8.695776463E-1,-1.254006743E0,2.696260972E0
1.575258979E0,2.174122810E0,1.021896005E0,-1.254281521E0,2.710037559E0
1.580234447E0,2.083121300E0,1.074435711E0,-1.189341068E0,2.628371858E0
1.585209916E0,2.050095558E0,1.089983225E0,-1.068627715E0,2.555957829E0
1.590185385E0,2.127236366E0,1.106901407E0,-8.394402266E-1,2.540674158E0
1.595160854E0,2.194778442E0,1.149018764E0,-5.066125393E-1,2.528626662E0
1.600136322E0,2.219234467E0,1.111068726E0,-1.798377037E-1,2.488336177E0
