"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
5.922296980E-1,2.328932583E-1,3.153180480E-1,2.030658871E-1,4.414753625E-1
5.947172500E-1,3.585943878E-1,4.346275628E-1,2.041311413E-1,5.993000718E-1
5.972048020E-1,4.949481189E-1,5.592634082E-1,2.020006180E-1,7.736623616E-1
5.996923540E-1,6.430197358E-1,6.870950460E-1,1.977395564E-1,9.616001847E-1
6.021799060E-1,7.985482812E-1,8.159919381E-1,1.902827173E-1,1.157466938E0
6.046674580E-1,9.594030380E-1,9.416930676E-1,1.806953400E-1,1.356425755E0
6.071550100E-1,1.124518991E0,1.063133121E0,1.689774394E-1,1.556710753E0
6.096425620E-1,1.289634824E0,1.177116275E0,1.540637612E-1,1.752853772E0
6.121301140E-1,1.453685403E0,1.282577395E0,1.380847991E-1,1.943520887E0
6.146176660E-1,1.615605474E0,1.380581737E0,1.199753210E-1,2.128516163E0
6.171052180E-1,1.771134019E0,1.466868043E0,1.018658355E-1,2.301954434E0
6.195927710E-1,1.920270920E0,1.543567061E0,8.269108832E-2,2.465132348E0
6.220803230E-1,2.059820414E0,1.607482791E0,6.351634115E-2,2.613598168E0
6.245678750E-1,2.190847874E0,1.659680724E0,4.221107066E-2,2.748842718E0
6.270554270E-1,2.309092045E0,1.699095488E0,2.197106183E-2,2.866934648E0
6.295429790E-1,2.415618420E0,1.728922844E0,6.657897611E-4,2.970586978E0
6.320305310E-1,2.509361744E0,1.747032404E0,-2.170474641E-2,3.057693523E0
6.345180830E-1,2.590321779E0,1.755554438E0,-4.301001877E-2,3.129470908E0
6.370056350E-1,2.657433271E0,1.757685065E0,-6.431528926E-2,3.186776559E0
6.394931870E-1,2.712826967E0,1.753423929E0,-8.349003643E-2,3.231237567E0
6.419807390E-1,2.757568121E0,1.747032404E0,-1.026647836E-1,3.266013506E0
6.444682910E-1,2.793787003E0,1.740640759E0,-1.186437383E-1,3.293805156E0
6.469558430E-1,2.824679613E0,1.737444997E0,-1.314269006E-1,3.318855686E0
6.494433960E-1,2.849180698E0,1.737444997E0,-1.420795321E-1,3.340169511E0
6.519309480E-1,2.873681784E0,1.743836522E0,-1.474058628E-1,3.364630930E0
6.544185000E-1,2.894987106E0,1.755554438E0,-1.516669095E-1,3.389089049E0
6.569060520E-1,2.917357683E0,1.771533489E0,-1.516669095E-1,3.416476197E0
6.593936040E-1,2.940793514E0,1.791773438E0,-1.484711170E-1,3.446848157E0
6.618811560E-1,2.967425108E0,1.815209270E0,-1.431448013E-1,3.481535135E0
6.643687080E-1,2.994056702E0,1.842906117E0,-1.356879622E-1,3.518393058E0
6.668562600E-1,3.020688295E0,1.872733474E0,-1.250353158E-1,3.556307393E0
6.693438120E-1,3.049450397E0,1.903626084E0,-1.111868918E-1,3.596568159E0
6.718318330E-1,3.079277754E0,1.936649323E0,-9.733846784E-2,3.638960959E0
6.743191250E-1,3.109105110E0,1.970737696E0,-8.029424399E-2,3.681954483E0
6.768064160E-1,3.138932467E0,2.004826069E0,-6.111950055E-2,3.725044992E0
6.792937080E-1,3.170890331E0,2.038914680E0,-3.981423005E-2,3.770053546E0
6.817810000E-1,3.203913450E0,2.073003054E0,-1.744369231E-2,3.816111547E0
6.842682910E-1,3.236936808E0,2.103895664E0,4.926844500E-3,3.860590776E0
6.867556350E-1,3.269959927E0,2.130527258E0,2.836264484E-2,3.902894920E0
6.892430310E-1,3.301917791E0,2.150767326E0,5.286370963E-2,3.940971424E0
6.917304790E-1,3.332810402E0,2.165680885E0,7.736477256E-2,3.975397361E0
6.942179790E-1,3.358376741E0,2.173137903E0,1.008005738E-1,4.001422677E0
6.967055310E-1,3.379682064E0,2.173137903E0,1.242363751E-1,4.019976850E0
6.991931350E-1,3.394595861E0,2.163550377E0,1.455416381E-1,4.028078160E0
7.016807910E-1,3.400987387E0,2.145441055E0,1.647163928E-1,4.024520346E0
7.041685000E-1,3.396726370E0,2.116678953E0,1.817606091E-1,4.006384497E0
7.066562080E-1,3.385008335E0,2.080459833E0,1.966743022E-1,3.978099462E0
7.091439160E-1,3.362637758E0,2.033588409E0,2.105227262E-1,3.935369656E0
7.116316250E-1,3.331745148E0,1.980325103E0,2.211753577E-1,3.882155559E0
