"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.121796583E0,1.069310188E0,1.068537533E-1,-3.806657791E-1,1.140065103E0
1.126771843E0,1.059720039E0,1.562607288E-1,-1.499118805E-1,1.081618024E0
1.131747104E0,1.059989929E0,2.091900110E-1,8.506202698E-2,1.083777957E0
1.136722364E0,1.046339035E0,2.659692168E-1,3.101053238E-1,1.123267694E0
1.141697625E0,1.052224159E0,3.030941486E-1,4.728665352E-1,1.192746622E0
1.146672885E0,1.106208801E0,3.209567666E-1,5.737037659E-1,1.286797252E0
1.151648145E0,1.179433823E0,3.484356701E-1,6.271066666E-1,1.380483368E0
1.156623406E0,1.205023766E0,3.712438345E-1,6.570348740E-1,1.421829485E0
1.161598666E0,1.168861389E0,4.276652932E-1,6.111049652E-1,1.386572691E0
1.166573927E0,1.095005989E0,4.843586087E-1,5.038638115E-1,1.299045849E0
1.171549187E0,1.016921997E0,5.366236567E-1,4.069604874E-1,1.219718056E0
1.176524447E0,9.822063446E-1,5.463778377E-1,2.868037224E-1,1.159963111E0
1.181499708E0,9.142446518E-1,5.900186300E-1,1.575393677E-1,1.099447097E0
1.186474968E0,8.607826233E-1,6.292076707E-1,5.244922638E-2,1.067520463E0
1.191450281E0,7.930526733E-1,6.353428364E-1,-9.072685242E-2,1.020208030E0
1.196425593E0,7.349529266E-1,5.989520550E-1,-2.241516113E-1,9.742398644E-1
1.201400906E0,6.864624023E-1,5.772168040E-1,-2.953763008E-1,9.442759278E-1
1.206376218E0,6.572179794E-1,5.603652596E-1,-3.044095039E-1,9.157564320E-1
1.211351531E0,6.377925873E-1,5.148101449E-1,-2.893176079E-1,8.692028232E-1
1.216326843E0,6.188211441E-1,4.739080667E-1,-2.593536377E-1,8.214577125E-1
1.221302156E0,6.529006958E-1,4.567099214E-1,-1.857132912E-1,8.181397786E-1
1.226277468E0,7.255573273E-1,4.346228540E-1,-1.400198936E-1,8.572841017E-1
1.231252781E0,7.603368759E-1,4.315226078E-1,-1.364636421E-1,8.848425010E-1
1.236228093E0,7.287378311E-1,4.476124346E-1,-1.463456154E-1,8.676593556E-1
1.241203406E0,6.786479950E-1,4.591615200E-1,-1.697382927E-1,8.367816266E-1
1.246178718E0,6.244010925E-1,4.901773334E-1,-2.495927811E-1,8.321340630E-1
1.251154031E0,5.421190262E-1,5.313358903E-1,-3.857660294E-1,8.514847599E-1
1.256129343E0,5.225028992E-1,5.207085013E-1,-5.590028763E-1,9.255435369E-1
1.261104656E0,5.556669235E-1,4.776399732E-1,-7.359452248E-1,1.038518680E0
1.266079968E0,6.173591614E-1,4.403390586E-1,-9.073877335E-1,1.182532587E0
1.271055281E0,7.501983643E-1,3.990654945E-1,-1.059390545E0,1.358071862E0
1.276030593E0,9.012222290E-1,3.153671622E-1,-1.178111076E0,1.516444414E0
1.281005906E0,1.013006210E0,2.272354811E-1,-1.254357815E0,1.628260137E0
1.285981218E0,1.104783058E0,1.677781045E-1,-1.283532143E0,1.701807821E0
1.290956531E0,1.167243004E0,1.366036087E-1,-1.298952103E0,1.751683002E0
1.295931843E0,1.238859177E0,9.053709358E-2,-1.333720207E0,1.822574722E0
1.300907156E0,1.291077614E0,4.379983246E-2,-1.387595177E0,1.895842874E0
1.305882468E0,1.285867691E0,3.446388245E-2,-1.393641949E0,1.896544584E0
1.310857781E0,1.199650764E0,8.151972294E-2,-1.390118599E0,1.837998134E0
1.315833093E0,1.099491119E0,1.420489550E-1,-1.381875515E0,1.771620322E0
1.320808406E0,1.047446251E0,1.781799644E-1,-1.392778873E0,1.751777594E0
1.325783718E0,1.000422478E0,1.950486004E-1,-1.403631210E0,1.734667018E0
1.330759031E0,9.583959579E-1,2.311878353E-1,-1.400118351E0,1.712396573E0
1.335734343E0,9.356298447E-1,2.676581144E-1,-1.401414394E0,1.706167160E0
1.340709656E0,9.225111008E-1,2.949965298E-1,-1.445659637E0,1.740109615E0
1.345684968E0,9.333362579E-1,2.990392447E-1,-1.504026413E0,1.795170324E0
1.350660229E0,9.727354050E-1,2.845940590E-1,-1.571779251E0,1.870213346E0
1.355635489E0,1.035806656E0,2.469770908E-1,-1.610761642E0,1.930918481E0
1.360610750E0,1.165425301E0,2.099480778E-1,-1.597186089E0,1.988290152E0
1.365586010E0,1.294460297E0,1.687013358E-1,-1.602973938E0,2.067271885E0
1.370561270E0,1.389390945E0,1.374470592E-1,-1.590097427E0,2.116059716E0
1.375536531E0,1.469326973E0,8.747574687E-2,-1.582645416E0,2.161328359E0
1.380511791E0,1.510418892E0,4.270502925E-2,-1.599762440E0,2.200551934E0
1.385487052E0,1.565315247E0,2.688688040E-2,-1.588835239E0,2.230545257E0
1.390462312E0,1.634043694E0,1.608957350E-2,-1.602316856E0,2.288619010E0
1.395437572E0,1.730868340E0,-4.154160619E-3,-1.663976669E0,2.400987468E0
1.400412833E0,1.822268486E0,-3.386798501E-2,-1.721200466E0,2.506858696E0
1.405388093E0,1.874789238E0,-5.406035483E-2,-1.778904915E0,2.585006751E0
1.410363354E0,1.869407654E0,-3.140860796E-2,-1.799048901E0,2.594657670E0
1.415338614E0,1.820638657E0,-4.297778010E-3,-1.805628777E0,2.564183860E0
1.420313875E0,1.742975235E0,4.637557268E-2,-1.827280521E0,2.525681585E0
1.425289135E0,1.670041084E0,9.198229015E-2,-1.863743305E0,2.504203880E0
1.430264395E0,1.625781059E0,1.085834801E-1,-1.910029888E0,2.510611200E0
1.435239968E0,1.576794624E0,8.669666946E-2,-1.965944767E0,2.521653510E0
1.440215125E0,1.494488716E0,1.027704030E-1,-1.974159718E0,2.478177731E0
1.445190281E0,1.421999931E0,1.422554255E-1,-1.901319504E0,2.378515559E0
1.450165437E0,1.407058716E0,1.574878097E-1,-1.776253700E0,2.271495949E0
1.455140593E0,1.444691658E0,1.295341700E-1,-1.632542610E0,2.183828854E0
1.460115750E0,1.539489746E0,1.015269011E-1,-1.489331245E0,2.144398272E0
1.465090906E0,1.643512726E0,5.441530049E-2,-1.337111950E0,2.119425269E0
1.470066062E0,1.694698334E0,7.453680038E-3,-1.171132088E0,2.060002031E0
1.475041218E0,1.755269051E0,-6.318721175E-2,-1.039147377E0,2.040781550E0
1.480016375E0,1.806080818E0,-1.096215844E-1,-9.553875923E-1,2.046145221E0
1.484991531E0,1.813659668E0,-1.318468451E-1,-9.007620811E-1,2.029314492E0
1.489966687E0,1.825879097E0,-1.442405730E-1,-8.465318680E-1,2.017735370E0
1.494942520E0,1.838003159E0,-1.515712589E-1,-8.737311363E-1,2.040743873E0
1.499918354E0,1.873952866E0,-1.873754412E-1,-9.772276878E-1,2.121740524E0
1.504893666E0,1.900298119E0,-2.231191397E-1,-1.094646931E0,2.204351831E0
1.509868927E0,1.898037910E0,-2.065835595E-1,-1.202002525E0,2.256110535E0
1.514844187E0,1.862524986E0,-1.619841307E-1,-1.318384647E0,2.287657374E0
