"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
4.348759910E-1,9.158604145E-1,6.635261178E-1,2.856238186E-1,1.166468248E0
4.373636470E-1,9.062730670E-1,6.091976166E-1,2.611227632E-1,1.122781237E0
4.398513030E-1,8.902940750E-1,5.538039207E-1,2.408827394E-1,1.075800547E0
4.423389600E-1,8.700540662E-1,4.994754791E-1,2.227732539E-1,1.027666169E0
4.448266160E-1,8.455530405E-1,4.504733682E-1,2.121206224E-1,9.812651824E-1
4.473142720E-1,8.167908788E-1,4.110586047E-1,2.067943066E-1,9.374862140E-1
4.498019280E-1,7.848330140E-1,3.812312186E-1,2.110553533E-1,8.976884003E-1
4.522895850E-1,7.518098354E-1,3.631217480E-1,2.217079997E-1,8.638459756E-1
4.547772410E-1,7.187866569E-1,3.545996249E-1,2.387522161E-1,8.363000495E-1
4.572648970E-1,6.889592409E-1,3.535343707E-1,2.589922249E-1,8.165343590E-1
4.597525530E-1,6.633929610E-1,3.567301631E-1,2.802974880E-1,8.036873221E-1
4.622402100E-1,6.420876384E-1,3.716438413E-1,3.016027808E-1,8.008494974E-1
4.647278660E-1,6.250434518E-1,3.897533417E-1,3.239732981E-1,8.047022318E-1
4.672155220E-1,6.154560447E-1,4.067975581E-1,3.442133069E-1,8.140965525E-1
4.697031780E-1,6.154560447E-1,4.206459820E-1,3.623228073E-1,8.288588552E-1
4.721908350E-1,6.239781976E-1,4.312986135E-1,3.783017397E-1,8.476316956E-1
4.746784910E-1,6.410223842E-1,4.376901984E-1,3.953459561E-1,8.710802671E-1
4.771661470E-1,6.633929610E-1,4.398207366E-1,4.123901725E-1,8.964363644E-1
4.796538030E-1,6.910898089E-1,4.408859909E-1,4.294344187E-1,9.254185544E-1
4.821414600E-1,7.187866569E-1,4.398207366E-1,4.486091435E-1,9.546448041E-1
4.846291160E-1,7.486140132E-1,4.376901984E-1,4.656533599E-1,9.842909642E-1
4.871167720E-1,7.763108611E-1,4.323638678E-1,4.837628603E-1,1.011742839E0
4.896044280E-1,8.008119464E-1,4.238417745E-1,4.997417927E-1,1.034738364E0
4.920920850E-1,8.221172094E-1,4.131891429E-1,5.125249624E-1,1.053225432E0
4.945797410E-1,8.402267098E-1,3.972101808E-1,5.231776237E-1,1.066523173E0
4.970673970E-1,8.551403880E-1,3.791007102E-1,5.285038948E-1,1.074382985E0
4.995550530E-1,8.668583035E-1,3.588607013E-1,5.306344628E-1,1.077866993E0
5.020427100E-1,8.764456511E-1,3.375554085E-1,5.306344628E-1,1.078737024E0
5.045303660E-1,8.817719817E-1,3.173153996E-1,5.306344628E-1,1.076932599E0
5.070180220E-1,8.860330582E-1,2.992059290E-1,5.295692086E-1,1.074719645E0
5.095056780E-1,8.881635666E-1,2.832269669E-1,5.285038948E-1,1.071619523E0
5.119933350E-1,8.902940750E-1,2.693785429E-1,5.295692086E-1,1.070341948E0
5.144809910E-1,8.902940750E-1,2.565953732E-1,5.316997170E-1,1.068255267E0
5.169686470E-1,8.892288208E-1,2.459427416E-1,5.359607935E-1,1.066990956E0
5.194563030E-1,8.860330582E-1,2.352901101E-1,5.423523784E-1,1.065158260E0
5.219439600E-1,8.828372359E-1,2.267680019E-1,5.519397259E-1,1.065580956E0
5.244316160E-1,8.764456511E-1,2.203764170E-1,5.604618192E-1,1.063409702E0
5.269192720E-1,8.689888120E-1,2.161153555E-1,5.700492263E-1,1.061510020E0
5.294069280E-1,8.615319729E-1,2.150501013E-1,5.796365738E-1,1.060406735E0
5.318945850E-1,8.508793116E-1,2.150501013E-1,5.913544893E-1,1.058273254E0
5.343822410E-1,8.412919641E-1,2.193111479E-1,6.020070910E-1,1.057488575E0
5.368698970E-1,8.306393027E-1,2.257027328E-1,6.137250066E-1,1.057147936E0
5.393575530E-1,8.189214468E-1,2.331595868E-1,6.243776679E-1,1.055861355E0
5.418452100E-1,8.072035313E-1,2.384859025E-1,6.350302696E-1,1.054379680E0
5.443328660E-1,7.954856157E-1,2.438122183E-1,6.456829309E-1,1.053161056E0
5.468205220E-1,7.816371918E-1,2.459427416E-1,6.563355327E-1,1.049867069E0
5.493081780E-1,7.656582594E-1,2.470080107E-1,6.669881940E-1,1.045044869E0
5.517958350E-1,7.486140132E-1,2.448774725E-1,6.765755415E-1,1.038336352E0
5.542834910E-1,7.283740044E-1,2.395511568E-1,6.861629486E-1,1.028947539E0
5.567711470E-1,7.081339955E-1,2.320943177E-1,6.936197877E-1,1.018052031E0
5.592588030E-1,6.868287325E-1,2.214416862E-1,7.000113726E-1,1.005378560E0
5.617464600E-1,6.633929610E-1,2.075932473E-1,7.042724490E-1,9.895376999E-1
5.642341160E-1,6.399571300E-1,1.926795542E-1,7.074682117E-1,9.732326594E-1
5.667217720E-1,6.175866127E-1,1.745700836E-1,7.074682117E-1,9.551959007E-1
5.692094280E-1,5.952160358E-1,1.564605981E-1,7.074682117E-1,9.376957495E-1
5.716970850E-1,5.728455186E-1,1.362205893E-1,7.053377032E-1,9.188086377E-1
5.741846890E-1,5.494097471E-1,1.159805804E-1,7.000113726E-1,8.973953906E-1
5.766722930E-1,5.270391703E-1,9.254477918E-2,6.946850419E-1,8.768820506E-1
5.791598970E-1,5.057339072E-1,6.910897791E-2,6.872282028E-1,8.560522405E-1
5.816475010E-1,4.844286442E-1,4.673844203E-2,6.776408553E-1,8.342977418E-1
5.841351060E-1,4.641886353E-1,2.436790615E-2,6.669881940E-1,8.129810176E-1
5.866227100E-1,4.450138807E-1,5.193160381E-3,6.542050242E-1,7.912322900E-1
5.891103140E-1,4.290349185E-1,-1.291632187E-2,6.403566003E-1,7.709049022E-1
5.915979180E-1,4.151864946E-1,-2.783001214E-2,6.275734305E-1,7.529958470E-1
5.940855220E-1,4.034686089E-1,-4.167843983E-2,6.169208288E-1,7.383192532E-1
5.965731260E-1,3.928159773E-1,-5.020054802E-2,6.094639897E-1,7.268224280E-1
5.990607310E-1,3.842938542E-1,-5.446160212E-2,6.052029133E-1,7.189703740E-1
6.015483350E-1,3.789675534E-1,-5.339634046E-2,6.052029133E-1,7.160573594E-1
6.040359390E-1,3.757717609E-1,-4.700475931E-2,6.094639897E-1,7.175376077E-1
6.065235430E-1,3.757717609E-1,-3.315633163E-2,6.169208288E-1,7.231148371E-1
6.090111470E-1,3.779022694E-1,-1.291632187E-2,6.286386847E-1,7.335963144E-1
6.114987510E-1,3.842938542E-1,1.371526904E-2,6.414218545E-1,7.478581887E-1
6.139863560E-1,3.938812315E-1,4.354264960E-2,6.552702785E-1,7.657790313E-1
6.164739600E-1,4.077296555E-1,7.976161689E-2,6.701840162E-1,7.885125257E-1
6.189615640E-1,4.237086177E-1,1.213068962E-1,6.840324402E-1,8.137227630E-1
6.214491680E-1,4.407528341E-1,1.703090221E-1,6.978808641E-1,8.427964904E-1
6.239367720E-1,4.588623047E-1,2.235722095E-1,7.117292881E-1,8.758411540E-1
6.264243760E-1,4.791023135E-1,2.800311744E-1,7.223818898E-1,9.109292400E-1
6.289119810E-1,5.014728308E-1,3.386206925E-1,7.309040427E-1,9.488728540E-1
6.313995850E-1,5.249086618E-1,4.004059732E-1,7.351650596E-1,9.880899309E-1
6.338871890E-1,5.504750013E-1,4.632565379E-1,7.351650596E-1,1.028638426E0
6.363747930E-1,5.739107728E-1,5.250418186E-1,7.330345511E-1,1.068822782E0
6.388623970E-1,5.994771123E-1,5.878923535E-1,7.255777121E-1,1.109708630E0
6.413500010E-1,6.250434518E-1,6.496776342E-1,7.159903049E-1,1.151261248E0
6.438376060E-1,6.506097913E-1,7.082671523E-1,7.010766268E-1,1.190144485E0
6.463252100E-1,6.751108170E-1,7.625955939E-1,6.861629486E-1,1.228066060E0
6.488128140E-1,6.974813938E-1,8.126630187E-1,6.680534482E-1,1.262219033E0
6.513004180E-1,7.187866569E-1,8.563387990E-1,6.488786936E-1,1.292677050E0
6.537880220E-1,7.390266657E-1,8.904272318E-1,6.286386847E-1,1.316893186E0
6.562756260E-1,7.571361065E-1,9.170588255E-1,6.062681675E-1,1.334845708E0
6.587632310E-1,7.731150985E-1,9.330378175E-1,5.838976502E-1,1.345066166E0
6.612508350E-1,7.869635224E-1,9.415599108E-1,5.615270734E-1,1.349503355E0
